feature,importance
numeric__temperature_delta_from_machine_baseline,0.10492075578447274
numeric__pressure_rolling_std_72h,0.06863433747266126
numeric__vibration_delta_from_machine_baseline,0.05916516776183612
numeric__vibration_rolling_std_72h,0.051284561201182195
numeric__vibration_rolling_max,0.04990263000190478
numeric__vibration_rolling_mean_72h,0.03622003379798611
numeric__vibration_rolling_max_72h,0.03545765593027481
numeric__vibration_rolling_mean,0.03529127105520943
numeric__current_vibration,0.033342485465208876
numeric__vibration_load_ratio,0.031051827340173477
numeric__pressure_rolling_std,0.0303828404556021
numeric__energy_consumption_rolling_mean_72h,0.02690707216893131
numeric__temperature_rolling_mean,0.026569986158110945
numeric__energy_consumption_rolling_mean,0.026326294853058842
numeric__pressure_rolling_min_72h,0.025235750140139044
numeric__temperature_rolling_max_72h,0.024615646526358604
numeric__temperature_rolling_min,0.023533926392828808
numeric__current_temperature,0.02263297606736245
numeric__temperature_rolling_min_72h,0.02231250862357155
numeric__temperature_rolling_max,0.020232162357057135
numeric__temperature_rolling_mean_72h,0.018904628012931638
numeric__temperature_pressure_ratio,0.01746622942713448
numeric__current_energy_consumption,0.016887659548003045
numeric__current_runtime_hours,0.015196009230026796
numeric__pressure_rolling_min,0.014711670174443607
numeric__pressure_delta_from_machine_baseline,0.013338372694430766
numeric__machine_age_days,0.013017109014005724
numeric__estimated_lifetime_used_ratio,0.012741597448756303
numeric__pressure_rolling_mean_72h,0.011909727955029826
numeric__current_pressure,0.011139742287659245
numeric__cumulative_maintenance_cost,0.008336524590404577
numeric__cumulative_downtime_hours,0.00794949595367617
numeric__pressure_rolling_mean,0.007914120456922623
numeric__energy_per_runtime_hour,0.00782905242132758
numeric__days_since_last_maintenance,0.00673075604289336
categorical__site_id_site_south,0.006715888227227957
numeric__average_risk_reduction_score,0.006557987603942794
numeric__operating_load_rolling_mean_72h,0.005409380055377581
numeric__expected_lifetime_years,0.003609314573553535
categorical__manufacturer_OmniWorks,0.0035309677520975334
categorical__last_maintenance_type_preventive,0.003241222712608688
numeric__temperature_rolling_std_72h,0.0030906263689091046
numeric__operating_load_rolling_mean,0.002892694038983874
numeric__cumulative_maintenance_count,0.0027808878456201435
categorical__machine_type_pump,0.0027673384420161327
categorical__criticality_low,0.0022825620833672794
categorical__manufacturer_Apex Industrial,0.00211422315562578
numeric__current_operating_load,0.0017162705217312695
numeric__vibration_rolling_std,0.001451967930558716
numeric__temperature_rolling_std,0.0014263344296797527
categorical__machine_type_generator,0.0013176145738338274
categorical__manufacturer_Northline Systems,0.001266739918500851
categorical__site_id_site_central,0.0011634399883110884
categorical__manufacturer_KineticForge,0.001053531125967064
categorical__last_maintenance_type_emergency,0.0010230315661908782
categorical__site_id_site_west,0.0009544657512516773
categorical__criticality_critical,0.0008224101143362745
categorical__machine_type_conveyor,0.0006724207983764825
categorical__last_maintenance_type_inspection,0.0006700463144404588
categorical__criticality_medium,0.0006230273613131344
numeric__recent_maintenance_flag,0.0005365921805238934
categorical__site_id_site_east,0.0005032638679484398
categorical__machine_type_hydraulic_press,0.00039067691554832065
categorical__site_id_site_north,0.0003617135384841741
categorical__last_maintenance_type_none,0.0003560812057288875
categorical__machine_type_compressor,0.00021601664380079268
categorical__criticality_high,0.00019504198024972437
categorical__last_maintenance_type_corrective,0.00019363560231751027
